?Order Date;Channel;SKU;Item Description;Origin;SO;Total Price;Cost;Shipping Cost;Profit
1.1.2021;eBay;N123456-99;Some Item Description 1;52901;123456;179;70;22;87
2.1.2021;Amazon;N123456-100;Some Item Description 2;23944;123457;172;79;10;83
3.1.2021;Walmart;N123456-101;Some Item Description 3;37206;123458;109;54;20;35
4.1.2021;NewEgg;N123456-102;Some Item Description 4;26073;123459;134;60;20;54
5.1.2021;Sears;N123456-103;Some Item Description 5;30259;123460;195;97;25;73
6.1.2021;eBay;N123456-104;Some Item Description 6;52290;123461;131;58;23;50
7.1.2021;Amazon;N123456-105;Some Item Description 7;23419;123462;130;81;24;25
8.1.2021;Walmart;N123456-106;Some Item Description 8;22547;123463;145;52;13;80
9.1.2021;NewEgg;N123456-107;Some Item Description 9;46931;123464;155;93;15;47
10.1.2021;Sears;N123456-108;Some Item Description 10;46919;123465;124;82;19;23
11.1.2021;eBay;N123456-109;Some Item Description 11;23920;123466;237;99;18;120
12.1.2021;Amazon;N123456-110;Some Item Description 12;24311;123467;236;94;20;122
13.1.2021;Walmart;N123456-111;Some Item Description 13;53504;123468;83;45;23;15
14.1.2021;NewEgg;N123456-112;Some Item Description 14;48179;123469;149;89;22;38
15.1.2021;Sears;N123456-113;Some Item Description 15;48622;123470;200;86;16;98
16.1.2021;eBay;N123456-114;Some Item Description 16;55529;123471;183;68;22;93
17.1.2021;Amazon;N123456-115;Some Item Description 17;41589;123472;113;32;14;67
18.1.2021;Walmart;N123456-116;Some Item Description 18;26386;123473;87;59;10;18
19.1.2021;NewEgg;N123456-117;Some Item Description 19;30398;123474;141;100;13;28
20.1.2021;Sears;N123456-118;Some Item Description 20;54962;123475;148;75;25;48
21.1.2021;eBay;N123456-119;Some Item Description 21;54638;123476;100;51;23;26
22.1.2021;Amazon;N123456-120;Some Item Description 22;51942;123477;199;81;24;94
23.1.2021;Walmart;N123456-121;Some Item Description 23;28579;123478;181;94;24;63
24.1.2021;NewEgg;N123456-122;Some Item Description 24;27611;123479;116;51;20;45
25.1.2021;Sears;N123456-123;Some Item Description 25;51628;123480;115;71;16;28
26.1.2021;eBay;N123456-124;Some Item Description 26;37078;123481;91;59;11;21
27.1.2021;Amazon;N123456-125;Some Item Description 27;55432;123482;161;88;14;59
28.1.2021;Walmart;N123456-126;Some Item Description 28;44790;123483;137;87;17;33
29.1.2021;NewEgg;N123456-127;Some Item Description 29;25797;123484;127;64;23;40
30.1.2021;Sears;N123456-128;Some Item Description 30;36419;123485;145;53;11;81
31.1.2021;eBay;N123456-129;Some Item Description 31;22611;123486;171;75;13;83
1.2.2021;Amazon;N123456-130;Some Item Description 32;43104;123487;105;37;23;45
2.2.2021;Walmart;N123456-131;Some Item Description 33;27845;123488;102;42;18;42
3.2.2021;NewEgg;N123456-132;Some Item Description 34;51396;123489;183;68;10;105
4.2.2021;Sears;N123456-133;Some Item Description 35;49131;123490;177;85;21;71
5.2.2021;eBay;N123456-134;Some Item Description 36;43614;123491;230;97;20;113
6.2.2021;Amazon;N123456-135;Some Item Description 37;53720;123492;223;100;12;111
7.2.2021;Walmart;N123456-136;Some Item Description 38;24494;123493;188;94;22;72
8.2.2021;NewEgg;N123456-137;Some Item Description 39;54467;123494;116;51;16;49
9.2.2021;Sears;N123456-138;Some Item Description 40;48336;123495;178;64;18;96
